transaction_id,user_id,amount,constant_feature,mostly_null_notes,leakage_label_copy,fraud
TX_1001,USR_9921,45.50,1,None,0,0
TX_1002,USR_3312,120.00,1,None,0,0
TX_1003,USR_8829,15.20,1,None,0,0
TX_1004,USR_1192,890.00,1,None,0,0
TX_1005,USR_5541,2300.00,1,Investigate,1,1
TX_1006,USR_3311,62.10,1,None,0,0
TX_1007,USR_7720,18.00,1,None,0,0
TX_1008,USR_6619,5.50,1,None,0,0
TX_1009,USR_4418,92.40,1,None,0,0
TX_1010,USR_2217,310.00,1,None,0,0
TX_1011,USR_1120,44.00,1,None,0,0
TX_1012,USR_9941,12.50,1,None,0,0
TX_1013,USR_8812,78.20,1,None,0,0
TX_1014,USR_4432,54.00,1,None,0,0
TX_1015,USR_2319,150000.00,1,High Risk Fraud,1,1
TX_1016,USR_7761,28.90,1,None,0,0
TX_1017,USR_5514,64.20,1,None,0,0
TX_1018,USR_3398,11.00,1,None,0,0
TX_1019,USR_1109,87.50,1,None,0,0
TX_1020,USR_9982,14.30,1,None,0,0
TX_1020,USR_9982,14.30,1,None,0,0
