MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41.0,6.984127,1.023810,322.0,2.555556,37.88,-122.23,4.526
8.3014,21.0,6.238137,0.971880,2401.0,2.109842,37.86,-122.22,3.585
7.2574,52.0,8.288136,1.073446,496.0,2.802260,37.85,-122.24,3.521
5.6431,52.0,5.817352,1.073059,558.0,2.547945,37.85,-122.25,3.413
3.8462,52.0,6.281853,1.081081,565.0,2.181467,37.85,-122.25,3.422
4.0368,52.0,4.761658,1.103627,413.0,2.139896,37.85,-122.25,2.697
3.6591,52.0,4.931907,0.951362,1094.0,2.128405,37.84,-122.25,2.992
3.1200,52.0,4.797527,1.061824,1157.0,1.788253,37.84,-122.25,2.414
2.0804,42.0,4.294118,1.117647,1206.0,2.026891,37.84,-122.26,2.267
3.6912,52.0,4.970588,0.990196,1551.0,2.172269,37.84,-122.25,2.611
3.2031,52.0,5.477612,1.079602,910.0,2.263682,37.85,-122.26,2.815
3.2705,52.0,4.772472,1.024719,1504.0,2.112360,37.85,-122.26,2.418
3.0750,52.0,5.322650,1.012821,1098.0,2.346154,37.85,-122.26,2.135
2.6736,52.0,4.000000,1.097701,1212.0,2.321839,37.84,-122.26,1.913
1.9167,52.0,4.262903,1.009677,1212.0,1.954839,37.85,-122.26,1.592
2.1250,50.0,4.242424,1.071970,697.0,2.640152,37.85,-122.26,1.400
2.7750,52.0,5.939577,1.048338,793.0,2.395770,37.85,-122.27,1.525
2.1202,52.0,4.052805,0.966997,648.0,2.138614,37.85,-122.27,1.555
1.9911,50.0,5.343675,1.085919,990.0,2.362768,37.84,-122.26,1.587
2.6033,52.0,5.465455,1.101818,690.0,2.509091,37.84,-122.27,1.629
1.3578,40.0,4.524096,1.108434,409.0,2.463855,37.85,-122.27,1.475
1.7135,42.0,4.478142,1.002732,929.0,2.538251,37.85,-122.27,1.598
1.7250,52.0,5.096234,1.131799,1015.0,2.123431,37.84,-122.27,1.139
2.1806,52.0,5.194805,1.034632,853.0,2.462428,37.84,-122.27,0.997
2.6000,52.0,5.270142,1.035545,1006.0,2.383886,37.84,-122.27,1.326
2.4038,41.0,4.495798,1.070028,317.0,2.219888,37.85,-122.28,1.075
1.0972,49.0,4.728033,1.020921,607.0,2.539749,37.85,-122.28,0.938
1.8080,52.0,4.780856,1.060453,1102.0,2.775819,37.85,-122.28,1.055
5.0800,50.0,6.000000,1.000000,208.0,2.189474,37.84,-122.28,1.875
6.0000,52.0,6.230769,0.984615,395.0,3.038462,37.84,-122.28,2.417
6.2835,49.0,7.130435,0.982609,723.0,3.143478,37.84,-122.28,2.714
7.2853,42.0,6.621053,1.021053,563.0,2.963158,37.84,-122.28,2.823
4.8319,52.0,6.208155,1.030043,917.0,2.627507,37.84,-122.28,2.835
3.7300,49.0,5.704878,0.985366,1139.0,2.778049,37.83,-122.28,2.450
4.7417,51.0,5.880000,0.960000,1370.0,2.740000,37.83,-122.28,2.700
3.0417,49.0,4.690625,1.040625,115.0,2.296875,37.83,-122.28,2.250
3.1250,48.0,4.383721,1.023256,647.0,2.507752,37.83,-122.28,1.960
1.9286,52.0,4.484733,1.022901,901.0,3.438931,37.83,-122.28,1.536
1.3875,52.0,3.957245,1.059382,900.0,2.137767,37.83,-122.28,1.167
1.2247,52.0,4.382022,1.086142,1093.0,2.456180,37.83,-122.28,1.125
